Year,Country,Company,Production_Capacity_Wafers,Fab_Count,Technology_Node_nm,AI_Chip_Production,Foundry_Revenue_USD,Global_Market_Share
1990,Taiwan,TSMC,193524.6582352076,6,1731nm,0.0,193524658.23520762,1.94
1990,Netherlands,ASML,303342.65725654794,2,1155nm,0.0,303342657.2565479,3.05
1990,USA,Intel,38460.96996241774,2,1601nm,0.0,38460969.96241774,0.39
1990,South Korea,Samsung,356955.5631200623,1,1969nm,0.0,356955563.1200623,3.59
1990,USA,Broadcom,417896.89399220666,4,1181nm,0.0,417896893.9922067,4.2
1990,USA,Qualcomm,99868.20982818257,2,1524nm,0.0,99868209.82818258,1.0
1990,USA,AMD,221653.05913463671,3,1611nm,0.0,221653059.1346367,2.23
1990,USA,Texas Instruments,78351.9917195005,1,1366nm,0.0,78351991.7195005,0.79
1990,USA,Applied Materials,233474.29226634762,6,1199nm,0.0,233474292.26634762,2.35
1990,USA,Lam Research,261974.8748226697,5,1046nm,0.0,261974874.82266968,2.63
1990,USA,Micron,307696.9774317048,3,1065nm,0.0,307696977.4317048,3.09
1990,Japan,Tokyo Electron,474953.9132541333,14,1808nm,0.0,474953913.2541333,4.77
1990,USA,Analog Devices,159260.74689495165,1,1684nm,0.0,159260746.89495164,1.6
1990,USA,KLA,225674.72193240465,2,1495nm,0.0,225674721.93240464,2.27
1990,Netherlands,NXP,26850.37534645701,1,1258nm,0.0,26850375.346457012,0.27
1990,USA,Marvell,334635.9193334512,4,1520nm,0.0,334635919.3334512,3.36
1990,USA,Microchip,277888.036878207,2,1969nm,0.0,277888036.878207,2.79
1990,Japan,Renesas,389815.08344694617,12,1894nm,0.0,389815083.44694614,3.92
1990,Germany,Infineon,302970.9896174317,9,1088nm,0.0,302970989.6174317,3.04
1990,Switzerland,STMicroelectronics,106031.60258538116,1,1325nm,0.0,106031602.58538117,1.06
1990,USA,ON Semiconductor,200451.8719478462,2,1828nm,0.0,200451871.9478462,2.01
1990,USA,GlobalFoundries,184809.13007985873,2,1542nm,0.0,184809130.07985872,1.86
1990,Taiwan,UMC,79052.8702376337,2,1074nm,0.0,79052870.2376337,0.79
1990,Taiwan,MediaTek,493574.59893425344,12,1198nm,0.0,493574598.93425345,4.96
1990,Taiwan,Realtek,12705.837390565175,1,1706nm,0.0,12705837.390565176,0.13
1990,Taiwan,Novatek,367213.5123400838,9,1074nm,0.0,367213512.3400838,3.69
1990,South Korea,SK Hynix,185648.20698669358,1,1863nm,0.0,185648206.9866936,1.86
1990,USA,Western Digital,315416.0821455034,4,1063nm,0.0,315416082.1455034,3.17
1990,Japan,Kioxia,162381.3376406745,2,1729nm,0.0,162381337.6406745,1.63
1990,Japan,Sony,322403.16096405446,9,1472nm,0.0,322403160.96405447,3.24
1990,Japan,Rohhm,68601.18050976784,2,1760nm,0.0,68601180.50976785,0.69
1990,USA,Qorvo,285025.82680905313,7,1493nm,0.0,285025826.8090531,2.86
1990,USA,Skyworks,266139.0863971771,4,1025nm,0.0,266139086.39717707,2.67
1990,USA,Synopsys,62866.79922671917,1,1636nm,0.0,62866799.22671917,0.63
1990,USA,Cadence,164034.43072740006,3,1907nm,0.0,164034430.72740006,1.65
1990,USA,Ansys,132153.19228294873,2,1755nm,0.0,132153192.28294873,1.33
1990,USA,Entegris,122111.10109089501,1,1289nm,0.0,122111101.09089501,1.23
1990,USA,Amkor,88998.43075446217,3,1808nm,0.0,88998430.75446217,0.89
1990,Taiwan,ASE,320367.8406901075,9,1803nm,0.0,320367840.69010746,3.22
1990,China,JCET,101419.32885415756,3,1539nm,0.0,101419328.85415757,1.02
1990,Taiwan,Powertech,405645.67603039066,11,1318nm,0.0,405645676.0303907,4.07
1990,Netherlands,Nexperia,63925.44301856161,1,1427nm,0.0,63925443.01856161,0.64
1990,Germany,Bosch,410827.23530202167,11,1006nm,0.0,410827235.3020217,4.13
1990,Israel,Tower Semiconductor,260266.1782630072,4,1222nm,0.0,260266178.2630072,2.61
1990,Israel,VisIC,68734.02999350458,1,1942nm,0.0,68734029.99350458,0.69
1991,Taiwan,TSMC,185206.38035918705,4,1362nm,0.0,185206380.35918707,1.39
1991,Netherlands,ASML,206996.35568243943,7,1569nm,0.0,206996355.68243945,1.55
1991,USA,Intel,146710.6574498713,3,1040nm,0.0,146710657.4498713,1.1
1991,South Korea,Samsung,164529.02646945504,1,1287nm,0.0,164529026.46945503,1.23
1991,USA,Broadcom,281943.9935203563,1,1022nm,0.0,281943993.5203563,2.11
1991,USA,Qualcomm,500555.31253602635,5,915nm,0.0,500555312.53602636,3.74
1991,USA,AMD,274815.03778960643,9,993nm,0.0,274815037.78960645,2.06
1991,USA,Texas Instruments,373281.06005176855,9,990nm,0.0,373281060.05176854,2.79
1991,USA,Applied Materials,403508.61190179235,5,1305nm,0.0,403508611.90179235,3.02
1991,USA,Lam Research,352472.51410012227,6,872nm,0.0,352472514.1001223,2.64
1991,USA,Micron,461228.04512259923,6,949nm,0.0,461228045.12259924,3.45
1991,Japan,Tokyo Electron,32977.801298017745,1,1342nm,0.0,32977801.298017744,0.25
1991,USA,Analog Devices,19940.839792114464,1,981nm,0.0,19940839.792114463,0.15
1991,USA,KLA,358748.13403069344,3,1352nm,0.0,358748134.0306935,2.68
1991,Netherlands,NXP,219450.35165598965,7,910nm,0.0,219450351.65598965,1.64
1991,USA,Marvell,194834.76321608934,2,1539nm,0.0,194834763.21608934,1.46
1991,USA,Microchip,483885.9114723488,5,1327nm,0.0,483885911.4723488,3.62
1991,Japan,Renesas,451482.7659084553,8,1223nm,0.0,451482765.9084553,3.38
1991,Germany,Infineon,141358.38479534345,1,1517nm,0.0,141358384.79534346,1.06
1991,Switzerland,STMicroelectronics,496325.3328110351,10,1071nm,0.0,496325332.8110351,3.71
1991,USA,ON Semiconductor,199223.96071622422,5,1517nm,0.0,199223960.71622422,1.49
1991,USA,GlobalFoundries,489139.58267889824,12,1313nm,0.0,489139582.6788982,3.66
1991,Taiwan,UMC,56351.44113233132,1,1518nm,0.0,56351441.13233132,0.42
1991,Taiwan,MediaTek,337865.263156519,1,881nm,0.0,337865263.156519,2.53
1991,Taiwan,Realtek,368627.453549242,1,928nm,0.0,368627453.549242,2.76
1991,Taiwan,Novatek,306767.51246858994,7,1321nm,0.0,306767512.46858996,2.29
1991,South Korea,SK Hynix,131881.15779924172,3,989nm,0.0,131881157.79924172,0.99
1991,USA,Western Digital,186390.4373078453,5,1319nm,0.0,186390437.3078453,1.39
1991,Japan,Kioxia,468731.41825636185,10,1254nm,0.0,468731418.25636184,3.51
1991,Japan,Sony,61490.69985934185,1,1012nm,0.0,61490699.859341845,0.46
1991,Japan,Rohhm,142510.41778132605,5,1114nm,0.0,142510417.78132606,1.07
1991,USA,Qorvo,491813.0932404641,10,1435nm,0.0,491813093.2404641,3.68
1991,USA,Skyworks,281921.3931836985,6,1194nm,0.0,281921393.18369853,2.11
1991,USA,Synopsys,116235.97042314599,3,1024nm,0.0,116235970.423146,0.87
1991,USA,Cadence,24106.30590655362,1,941nm,0.0,24106305.906553622,0.18
1991,USA,Ansys,517907.17696622084,15,1531nm,0.0,517907176.96622086,3.87
1991,USA,Entegris,210515.53943768455,1,1542nm,0.0,210515539.43768454,1.57
1991,USA,Amkor,241791.2559430324,8,1570nm,0.0,241791255.94303238,1.81
1991,Taiwan,ASE,470772.09649690706,5,1108nm,0.0,470772096.49690706,3.52
1991,China,JCET,469762.6659475859,6,935nm,0.0,469762665.9475859,3.51
1991,Taiwan,Powertech,311115.88046505075,9,1356nm,0.0,311115880.46505076,2.33
1991,Netherlands,Nexperia,318262.9706781677,2,1292nm,0.0,318262970.6781677,2.38
1991,Germany,Bosch,544639.0252061979,4,1214nm,0.0,544639025.2061979,4.07
1991,Israel,Tower Semiconductor,483904.085769168,12,1357nm,0.0,483904085.76916796,3.62
1991,Israel,VisIC,389638.9212690519,5,1034nm,0.0,389638921.2690519,2.91
1992,Taiwan,TSMC,487904.359421366,13,1194nm,0.0,487904359.42136604,3.65
1992,Netherlands,ASML,548985.4449032051,9,960nm,0.0,548985444.9032052,4.11
1992,USA,Intel,481397.5652324638,10,1089nm,0.0,481397565.23246384,3.6
1992,South Korea,Samsung,479926.0896284274,13,856nm,0.0,479926089.6284274,3.59
1992,USA,Broadcom,232842.7761522871,2,1010nm,0.0,232842776.1522871,1.74
1992,USA,Qualcomm,33134.056992484344,1,987nm,0.0,33134056.992484342,0.25
1992,USA,AMD,180486.25625143124,4,659nm,0.0,180486256.25143126,1.35
1992,USA,Texas Instruments,33960.73498453808,1,870nm,0.0,33960734.98453808,0.25
1992,USA,Applied Materials,86711.58143930825,2,1132nm,0.0,86711581.43930826,0.65
1992,USA,Lam Research,138902.7641681438,3,694nm,0.0,138902764.1681438,1.04
1992,USA,Micron,42388.85204714132,1,986nm,0.0,42388852.04714132,0.32
1992,Japan,Tokyo Electron,386808.78208094544,9,1264nm,0.0,386808782.08094543,2.89
1992,USA,Analog Devices,315584.60480110283,4,1148nm,0.0,315584604.8011028,2.36
1992,USA,KLA,171249.36374209964,3,690nm,0.0,171249363.74209964,1.28
1992,Netherlands,NXP,26906.23712828902,1,1175nm,0.0,26906237.12828902,0.2
1992,USA,Marvell,421232.8331830944,6,750nm,0.0,421232833.1830944,3.15
1992,USA,Microchip,103984.9810905986,1,991nm,0.0,103984981.0905986,0.78
1992,Japan,Renesas,432182.40254763665,9,819nm,0.0,432182402.5476366,3.23
1992,Germany,Infineon,573460.7850299581,13,994nm,0.0,573460785.0299581,4.29
1992,Switzerland,STMicroelectronics,371691.7987857991,6,798nm,0.0,371691798.78579915,2.78
1992,USA,ON Semiconductor,221311.9350469418,6,649nm,0.0,221311935.0469418,1.66
1992,USA,GlobalFoundries,80250.71261806674,1,666nm,0.0,80250712.61806674,0.6
1992,Taiwan,UMC,515010.8233984723,12,943nm,0.0,515010823.39847225,3.85
1992,Taiwan,MediaTek,69526.48646278887,2,943nm,0.0,69526486.46278888,0.52
1992,Taiwan,Realtek,113842.69950708892,2,895nm,0.0,113842699.50708893,0.85
1992,Taiwan,Novatek,374119.85765470326,8,668nm,0.0,374119857.65470326,2.8
1992,South Korea,SK Hynix,232272.2174003651,5,962nm,0.0,232272217.4003651,1.74
1992,USA,Western Digital,515616.0266187335,11,744nm,0.0,515616026.61873347,3.86
1992,Japan,Kioxia,53494.423471452756,2,656nm,0.0,53494423.47145276,0.4
1992,Japan,Sony,356436.0417887964,11,1008nm,0.0,356436041.7887964,2.67
1992,Japan,Rohhm,240243.91660943488,5,933nm,0.0,240243916.60943487,1.8
1992,USA,Qorvo,332822.6721177697,10,887nm,0.0,332822672.1177697,2.49
1992,USA,Skyworks,577180.0515284615,16,765nm,0.0,577180051.5284615,4.32
1992,USA,Synopsys,52784.44491459729,1,651nm,0.0,52784444.91459729,0.39
1992,USA,Cadence,67532.4609244859,2,685nm,0.0,67532460.9244859,0.51
1992,USA,Ansys,199557.67061273166,6,654nm,0.0,199557670.61273167,1.49
1992,USA,Entegris,490907.4677622942,5,715nm,0.0,490907467.76229423,3.67
1992,USA,Amkor,421681.4532341206,9,1201nm,0.0,421681453.2341206,3.15
1992,Taiwan,ASE,444221.77375668485,11,820nm,0.0,444221773.75668484,3.32
1992,China,JCET,116334.45174247702,3,1156nm,0.0,116334451.74247701,0.87
1992,Taiwan,Powertech,594417.0234963959,9,878nm,0.0,594417023.496396,4.45
1992,Netherlands,Nexperia,468530.8209162941,6,1235nm,0.0,468530820.9162941,3.5
1992,Germany,Bosch,516746.69808369095,8,1120nm,0.0,516746698.08369094,3.87
1992,Israel,Tower Semiconductor,455671.20996179327,3,1217nm,0.0,455671209.96179324,3.41
1992,Israel,VisIC,309088.39499934,8,844nm,0.0,309088394.99934,2.31
1993,USA,NVIDIA,583448.2965520797,8,517nm,0.0,583448296.5520797,3.13
1993,Taiwan,TSMC,589728.3189790709,3,675nm,0.0,589728318.9790709,3.16
1993,Netherlands,ASML,618189.4730113627,18,805nm,0.0,618189473.0113627,3.31
1993,USA,Intel,415480.30415216216,7,662nm,0.0,415480304.15216213,2.23
1993,South Korea,Samsung,222359.3154006365,5,897nm,0.0,222359315.4006365,1.19
1993,USA,Broadcom,517235.8508533655,13,558nm,0.0,517235850.8533655,2.77
1993,USA,Qualcomm,327945.7340955444,2,793nm,0.0,327945734.0955444,1.76
1993,USA,AMD,294254.92937484116,8,691nm,0.0,294254929.37484115,1.58
1993,USA,Texas Instruments,87571.68946438494,1,901nm,0.0,87571689.46438494,0.47
1993,USA,Applied Materials,406804.90633245825,2,555nm,0.0,406804906.33245826,2.18
1993,USA,Lam Research,459517.3367394594,2,932nm,0.0,459517336.7394594,2.46
1993,USA,Micron,462876.29869868816,2,555nm,0.0,462876298.69868815,2.48
1993,Japan,Tokyo Electron,641489.4115052487,9,701nm,0.0,641489411.5052488,3.44
1993,USA,Analog Devices,530753.3243430292,16,1016nm,0.0,530753324.3430292,2.84
1993,USA,KLA,492901.9040099458,7,554nm,0.0,492901904.0099458,2.64
1993,Netherlands,NXP,508042.5854457773,9,729nm,0.0,508042585.4457773,2.72
1993,USA,Marvell,590347.7433053468,4,764nm,0.0,590347743.3053468,3.16
1993,USA,Microchip,20232.27171684595,1,540nm,0.0,20232271.71684595,0.11
1993,Japan,Renesas,88687.01266276182,1,844nm,0.0,88687012.66276182,0.48
1993,Germany,Infineon,488230.5880920746,9,1004nm,0.0,488230588.09207463,2.62
1993,Switzerland,STMicroelectronics,251792.5591565995,3,956nm,0.0,251792559.15659952,1.35
1993,USA,ON Semiconductor,155430.54913689132,5,518nm,0.0,155430549.13689134,0.83
1993,USA,GlobalFoundries,630812.812612766,3,968nm,0.0,630812812.612766,3.38
1993,Taiwan,UMC,349145.606487973,11,549nm,0.0,349145606.48797303,1.87
1993,UK,Arm,365805.1791636413,11,779nm,0.0,365805179.1636413,1.96
1993,Taiwan,MediaTek,413926.9324921622,9,744nm,0.0,413926932.4921622,2.22
1993,Taiwan,Realtek,412754.4970135484,8,973nm,0.0,412754497.0135484,2.21
1993,Taiwan,Novatek,41949.344277508666,1,998nm,0.0,41949344.27750867,0.22
1993,South Korea,SK Hynix,580098.0303385137,9,829nm,0.0,580098030.3385136,3.11
1993,USA,Western Digital,189691.81355898152,2,749nm,0.0,189691813.5589815,1.02
1993,Japan,Kioxia,238085.36925259564,5,551nm,0.0,238085369.25259563,1.28
1993,Japan,Sony,633689.4924833481,19,869nm,0.0,633689492.4833481,3.4
1993,Japan,Rohhm,354493.3853612047,4,928nm,0.0,354493385.3612047,1.9
1993,USA,Qorvo,449173.75691682106,3,978nm,0.0,449173756.91682106,2.41
1993,USA,Skyworks,536956.2237420587,16,883nm,0.0,536956223.7420588,2.88
1993,USA,Synopsys,403745.47981109814,6,989nm,0.0,403745479.81109816,2.16
1993,USA,Cadence,564682.6976117601,2,525nm,0.0,564682697.6117601,3.03
1993,USA,Ansys,252807.16470131758,7,1017nm,0.0,252807164.70131758,1.36
1993,USA,Entegris,108815.55963294746,3,707nm,0.0,108815559.63294746,0.58
1993,USA,Amkor,630835.4714079022,17,941nm,0.0,630835471.4079022,3.38
1993,Taiwan,ASE,311557.5427893961,5,651nm,0.0,311557542.78939605,1.67
1993,China,JCET,48911.191366640574,2,928nm,0.0,48911191.366640575,0.26
1993,Taiwan,Powertech,649820.1578832652,20,796nm,0.0,649820157.8832651,3.48
1993,Netherlands,Nexperia,502844.9834699852,15,947nm,0.0,502844983.4699852,2.7
1993,Germany,Bosch,170560.74081041693,3,578nm,0.0,170560740.81041694,0.91
1993,Israel,Tower Semiconductor,620730.5043638061,12,629nm,0.0,620730504.3638061,3.33
1993,Israel,VisIC,440873.3359665307,9,695nm,0.0,440873335.96653074,2.36
1994,USA,NVIDIA,91900.50824894551,2,622nm,0.0,91900508.2489455,0.57
1994,Taiwan,TSMC,543810.4167306486,10,758nm,0.0,543810416.7306486,3.38
1994,Netherlands,ASML,392608.09139929706,7,768nm,0.0,392608091.39929706,2.44
1994,USA,Intel,290789.24622170435,2,421nm,0.0,290789246.22170436,1.81
1994,South Korea,Samsung,532024.1573921026,11,697nm,0.0,532024157.39210266,3.3
1994,USA,Broadcom,160093.41479511274,1,415nm,0.0,160093414.79511273,0.99
1994,USA,Qualcomm,254503.06534132553,5,570nm,0.0,254503065.34132552,1.58
1994,USA,AMD,314107.7965082781,9,552nm,0.0,314107796.50827813,1.95
1994,USA,Texas Instruments,366596.78956363024,9,572nm,0.0,366596789.5636302,2.28
1994,USA,Applied Materials,440751.4763563212,12,798nm,0.0,440751476.3563212,2.74
1994,USA,Lam Research,114892.40791732002,4,611nm,0.0,114892407.91732001,0.71
1994,USA,Micron,191155.65037308543,3,811nm,0.0,191155650.37308544,1.19
1994,Japan,Tokyo Electron,351936.0124791085,4,669nm,0.0,351936012.4791085,2.19
1994,USA,Analog Devices,178739.89448184043,1,462nm,0.0,178739894.48184043,1.11
1994,USA,KLA,101839.4455250319,1,466nm,0.0,101839445.5250319,0.63
1994,Netherlands,NXP,453640.0749350052,4,551nm,0.0,453640074.93500525,2.82
1994,USA,Marvell,629196.8491955241,10,683nm,0.0,629196849.1955241,3.91
1994,USA,Microchip,132211.43164431807,1,426nm,0.0,132211431.64431807,0.82
1994,Japan,Renesas,129889.45326750487,2,482nm,0.0,129889453.26750487,0.81
1994,Germany,Infineon,74849.93815734015,1,598nm,0.0,74849938.15734015,0.46
1994,Switzerland,STMicroelectronics,155544.93082637366,2,615nm,0.0,155544930.82637367,0.97
1994,USA,ON Semiconductor,487610.85243974463,2,737nm,0.0,487610852.43974465,3.03
1994,USA,GlobalFoundries,444739.6671907627,2,767nm,0.0,444739667.1907627,2.76
1994,Taiwan,UMC,645718.4667648238,3,523nm,0.0,645718466.7648238,4.01
1994,UK,Arm,567054.07793804,14,485nm,0.0,567054077.93804,3.52
1994,Taiwan,MediaTek,157613.63580898326,2,608nm,0.0,157613635.80898327,0.98
1994,Taiwan,Realtek,438122.773269783,6,599nm,0.0,438122773.269783,2.72
1994,Taiwan,Novatek,526765.063559757,2,512nm,0.0,526765063.55975693,3.27
1994,South Korea,SK Hynix,503357.81591680297,14,619nm,0.0,503357815.91680294,3.13
1994,USA,Western Digital,379029.85089200654,2,592nm,0.0,379029850.8920065,2.35
1994,Japan,Kioxia,379375.4447881459,4,519nm,0.0,379375444.7881459,2.36
1994,Japan,Sony,272816.93588977115,1,541nm,0.0,272816935.88977116,1.69
1994,Japan,Rohhm,159053.33279962963,2,458nm,0.0,159053332.79962963,0.99
1994,USA,Qorvo,624901.714587568,12,687nm,0.0,624901714.5875679,3.88
1994,USA,Skyworks,555371.469684634,9,445nm,0.0,555371469.684634,3.45
1994,USA,Synopsys,382455.0876875238,8,714nm,0.0,382455087.6875238,2.37
1994,USA,Cadence,310118.44871356006,2,525nm,0.0,310118448.71356004,1.93
1994,USA,Ansys,263074.45532946364,6,643nm,0.0,263074455.32946363,1.63
1994,USA,Entegris,258282.3539659225,8,657nm,0.0,258282353.9659225,1.6
1994,USA,Amkor,176737.5791308922,1,472nm,0.0,176737579.13089222,1.1
1994,Taiwan,ASE,182727.0016717726,2,486nm,0.0,182727001.6717726,1.13
1994,China,JCET,209575.28572397912,2,776nm,0.0,209575285.72397912,1.3
1994,Taiwan,Powertech,69040.34952388654,2,577nm,0.0,69040349.52388655,0.43
1994,Netherlands,Nexperia,687911.731199304,4,572nm,0.0,687911731.199304,4.27
1994,Germany,Bosch,679056.7172269031,18,744nm,0.0,679056717.2269031,4.22
1994,Israel,Tower Semiconductor,190921.33935282874,2,683nm,0.0,190921339.35282874,1.19
1994,Israel,VisIC,651551.9285415239,12,643nm,0.0,651551928.5415238,4.05
1995,USA,NVIDIA,220784.63384030887,6,388nm,0.0,220784633.84030887,1.12
1995,Taiwan,TSMC,252904.2387571191,4,494nm,0.0,252904238.75711912,1.29
1995,Netherlands,ASML,193171.153325084,2,527nm,0.0,193171153.32508397,0.98
1995,USA,Intel,227143.456631588,5,378nm,0.0,227143456.63158798,1.16
1995,South Korea,Samsung,368637.97486329084,7,344nm,0.0,368637974.86329085,1.88
1995,USA,Broadcom,262404.1444725316,2,348nm,0.0,262404144.47253162,1.34
1995,USA,Qualcomm,742620.7708066098,9,593nm,0.0,742620770.8066097,3.78
1995,USA,AMD,202160.88125136643,5,576nm,0.0,202160881.25136644,1.03
1995,USA,Texas Instruments,452794.47434676555,7,462nm,0.0,452794474.3467656,2.3
1995,USA,Applied Materials,271418.1759091015,8,599nm,0.0,271418175.9091015,1.38
1995,USA,Lam Research,724294.7793398867,4,567nm,0.0,724294779.3398868,3.69
1995,USA,Micron,704680.2357634627,5,349nm,0.0,704680235.7634628,3.59
1995,Japan,Tokyo Electron,559723.6772281934,11,603nm,0.0,559723677.2281934,2.85
1995,USA,Analog Devices,117732.69682032277,3,393nm,0.0,117732696.82032277,0.6
1995,USA,KLA,135287.11800629282,1,594nm,0.0,135287118.00629282,0.69
1995,Netherlands,NXP,503919.95721170714,9,445nm,0.0,503919957.2117071,2.57
1995,USA,Marvell,659742.3974976345,9,595nm,0.0,659742397.4976345,3.36
1995,USA,Microchip,337764.1577991105,5,479nm,0.0,337764157.79911053,1.72
1995,Japan,Renesas,236512.73751064442,6,492nm,0.0,236512737.51064444,1.2
1995,Germany,Infineon,185676.33093291073,6,453nm,0.0,185676330.93291074,0.95
1995,Switzerland,STMicroelectronics,414511.35291878163,12,532nm,0.0,414511352.91878164,2.11
1995,USA,ON Semiconductor,100920.05992064759,3,533nm,0.0,100920059.92064759,0.51
1995,USA,GlobalFoundries,261155.62677295826,2,587nm,0.0,261155626.77295825,1.33
1995,Taiwan,UMC,470753.47560745745,8,620nm,0.0,470753475.60745746,2.4
1995,UK,Arm,594618.9502500301,4,429nm,0.0,594618950.2500302,3.03
1995,Taiwan,MediaTek,197639.51776363232,5,338nm,0.0,197639517.76363233,1.01
1995,Taiwan,Realtek,433868.9183804176,11,614nm,0.0,433868918.38041764,2.21
1995,Taiwan,Novatek,266430.085306192,7,363nm,0.0,266430085.30619198,1.36
1995,South Korea,SK Hynix,637142.4344248709,4,457nm,0.0,637142434.4248708,3.24
1995,USA,Western Digital,601012.0938479719,4,402nm,0.0,601012093.8479719,3.06
1995,Japan,Kioxia,545855.6377689037,13,537nm,0.0,545855637.7689037,2.78
1995,Japan,Sony,525052.1066833185,10,410nm,0.0,525052106.6833185,2.67
1995,Japan,Rohhm,269086.5552253808,2,625nm,0.0,269086555.22538084,1.37
