Year,Exporting_Country,Importing_Country,Chip_Export_Value_USD,Chip_Import_Value_USD,Trade_Balance,Logistics_Route,Supply_Chain_Dependency
1990,Taiwan,USA,27329608706.62848,26920106036.577045,409502670.05143356,Indian Ocean,18.051551544957
1990,Taiwan,China,7959762473.538582,7612842484.049282,346919989.4892998,Indian Ocean,49.83921022038149
1990,Taiwan,Japan,5031689037.624128,5115848890.336757,-84159852.71262836,Eurasian Railway,44.54253886808246
1990,Taiwan,Germany,8618826454.617027,8766940221.79003,-148113767.17300224,Air Freight,49.28307758704981
1990,Taiwan,South Korea,9154626860.229273,8709694410.467936,444932449.7613373,Air Freight,85.88665117064009
1990,Taiwan,India,2494091553.8313885,2430917563.396737,63173990.434651375,Air Freight,47.20709303316361
1990,Taiwan,UK,6816490240.919477,6914769095.378875,-98278854.45939732,Pacific Ocean,53.446631128462634
1990,Taiwan,Vietnam,4803104230.348058,4772339939.697813,30764290.650244713,Indian Ocean,89.57521039716201
1990,Taiwan,Mexico,3826208901.2458396,3896067110.5765357,-69858209.3306961,Indian Ocean,55.91086939007138
1990,USA,China,2099660666.058082,2153283496.107943,-53622830.049860954,Indian Ocean,12.291674504820529
1990,USA,Japan,5986934023.792371,6239483561.805556,-252549538.0131855,Eurasian Railway,41.65371937094637
1990,USA,Germany,3364107246.334817,3498503291.687483,-134396045.3526659,Indian Ocean,82.32653668330465
1990,USA,South Korea,425702855.04583603,433329551.69015074,-7626696.644314706,Pacific Ocean,46.51083911097292
1990,USA,India,103101931.28347611,107475968.18009062,-4374036.896614507,Pacific Ocean,14.54712488638557
1990,USA,UK,7440052665.495051,7440454188.123589,-401522.62853717804,Indian Ocean,46.96174271681929
1990,USA,Taiwan,2030019374.2928689,2026881315.7410865,3138058.5517823696,Indian Ocean,82.13353165058348
1990,USA,Vietnam,4896777712.12642,4842343425.553956,54434286.57246399,Air Freight,37.459975264447394
1990,USA,Mexico,9269641836.997585,9516374293.958698,-246732456.96111298,Indian Ocean,42.95381023153301
1990,South Korea,USA,1444468691.1335413,1402851603.807674,41617087.325867414,Pacific Ocean,18.545499308814357
1990,South Korea,China,10920660269.799492,10462554963.173302,458105306.6261902,Air Freight,29.649215038712104
1990,South Korea,Japan,4199456922.4280186,4259938851.8370686,-60481929.40904999,Air Freight,22.499306162498122
1990,South Korea,Germany,6138269549.710783,6152359613.040084,-14090063.32930088,Eurasian Railway,9.311716081499057
1990,South Korea,India,4049111548.8073106,4110702931.6736436,-61591382.86633301,Pacific Ocean,12.771532162348816
1990,South Korea,UK,8207710994.323909,8191465642.444595,16245351.879313469,Eurasian Railway,5.528760595569653
1990,South Korea,Taiwan,9090184964.402952,9408161689.568924,-317976725.16597176,Air Freight,35.28167846024807
1990,South Korea,Vietnam,8522198801.738274,8818210836.983892,-296012035.2456188,Indian Ocean,18.529525580602243
1990,South Korea,Mexico,1756125490.4494727,1682278964.483254,73846525.96621871,Air Freight,10.489065949381176
1990,Japan,USA,8005494077.016317,7866825186.953213,138668890.06310463,Air Freight,10.001077696729352
1990,Japan,China,8248584309.99901,8147976959.732693,100607350.26631737,Air Freight,14.840302619512606
1990,Japan,Germany,8139456130.26216,8227258080.377023,-87801950.11486244,Pacific Ocean,19.68252590739685
1990,Japan,South Korea,1095921388.121581,1139367814.607205,-43446426.48562384,Pacific Ocean,8.764119168415284
1990,Japan,India,2413388656.2769413,2296344778.6223574,117043877.65458393,Eurasian Railway,26.64191110479794
1990,Japan,UK,1107469906.9864516,1155260755.383328,-47790848.396876335,Air Freight,20.7574875834802
1990,Japan,Taiwan,7958588803.612522,7937054345.426169,21534458.18635273,Eurasian Railway,29.71143443853589
1990,Japan,Vietnam,6671570811.6864395,6354965348.443935,316605463.2425041,Indian Ocean,32.07259693415067
1990,Japan,Mexico,8687752773.139595,8979481714.42625,-291728941.2866554,Eurasian Railway,9.795386004094993
